,cycle index,p_a,p_b,p_c,q_a,q_b,q_c,r_a,r_b,r_c,s_a,s_b,s_c,t_a,t_b,t_c
25,25,1918.443893977021,148.2137823777249,-0.004674702814846396,-2000.0,208.0,-1.0,2000.0,212.0,-1.0,-2113.919350114269,233.0,-0.0002851651514785852,20430.344862783393,298.63921457547275,-0.01135366807592122
26,26,1968.8869860597954,143.75319975945877,-0.0033608828811039966,-2298.118429876329,227.0,-0.00031682578012914397,21100.718521483606,298.3070041987249,-0.011991403141648567,-4298.116642087733,313.0,-0.0006442755221503635,2000.0,474.0,-1.0
27,27,2316.604281496594,143.66974370515717,-0.0025016264208516516,-2213.709662739481,232.0,-0.00028891013619827653,20948.441867368445,299.42986135668315,-0.012046596031598257,-6566.356548701146,323.28972709042307,-0.01213633335344089,2000.0,501.0,-1.0
28,28,2000.0,156.0,-1.0,-2000.0,158.0,-1.0,1743.1081996165597,149.50119871748376,-0.0032735918101990703,-2000.0,205.0,-1.0,2000.0,206.0,-1.0
29,29,2030.8761108550423,148.73223692506772,-0.0030020063446147866,-2273.3147767856394,234.0,-0.0004037882671349674,20935.177841833305,298.1659636714523,-0.012661796407951963,-6456.004317443733,323.8401299105189,-0.008932069983092553,2000.0,485.0,-1.0
30,30,1535.5593610795004,147.77873668220863,-0.0033740014223563966,-2301.1516456573363,228.0,-0.00027664391132841055,20567.55714316895,298.9249071235353,-0.01254623328310629,-6340.780051691122,322.63681133197684,-0.013205458215426872,2000.0,466.0,-1.0
31,31,1868.058446732763,147.8124704175203,-0.0032653343388303786,-2250.388397752491,228.0,-0.00043384861792833895,20587.691198794964,297.7490424205409,-0.011399764326431382,-5654.157243414825,323.31341389032355,-0.010914146080443207,2000.0,477.0,-1.0
32,32,2000.0,154.0,-1.0,-2000.0,157.0,-1.0,1662.0808228979638,148.30836580451538,-0.0037247070955066528,-2000.0,202.0,-1.0,2000.0,205.0,-1.0
33,33,2057.5070326748782,145.43264484028632,-0.0024479801242666805,-2050.1356624337423,233.0,-0.0003398558107761482,20441.35687931594,298.3552746587585,-0.011928473093773363,-3812.701912634991,313.0,-0.0006582672946272394,2000.0,496.0,-1.0
34,34,1722.243975243713,146.63226661523126,-0.00734927195621627,-2207.2347401800503,223.0,-0.0003442051222040711,20419.44914674862,298.20493031160015,-0.012166827406204518,-5407.0269092102135,324.6748336197276,-0.011332547684788195,2000.0,425.0,-1.0
35,35,2000.0,157.0,-1.0,-2000.0,160.0,-1.0,1421.3187707516872,145.5552114445864,-0.004208877302467975,-2000.0,194.0,-1.0,2000.0,205.0,-1.0
36,36,1932.8604376101641,143.88208400221367,-0.002720743802054271,-2037.0574910244836,225.99999999999994,-0.000353024365223081,20415.08393250699,298.55435991364124,-0.011220838621273708,-6074.832330105788,322.54341260446546,-0.01320246870756777,2000.0,495.0,-1.0
37,37,1927.7230713709903,142.0549550986775,-0.0043242171729858826,-2351.1983019238287,222.0,-0.00037095129991369344,20671.315954838923,297.92612010406174,-0.011852840221218344,-6174.890397958996,323.58116498158546,-0.011100144289172872,2000.0,479.0,-1.0
38,38,1642.5567541077182,141.91291399473488,-0.00489361066641259,-2000.0,193.0,-1.0,2000.0,197.0,-1.0,-2304.469282819711,225.0,-0.00031487256436232543,21274.01139740223,297.4864071323111,-0.011914592800727758
39,39,2052.9561467000035,143.26121307045702,-0.003653780437357915,-2190.1640124369264,230.99999999979093,-0.0003473015015505045,20822.06633691134,297.4390338643951,-0.01120965169909514,-6049.472155250252,322.0013622354562,-0.013356139720759124,2000.0,485.0,-1.0
40,40,1926.2871608204832,144.68025390980353,-0.005555476601397007,-2065.890652377191,226.0,-0.0003773303940949149,21266.766664820516,298.33601802914984,-0.011819646127634562,-5619.482314288051,323.65106670086675,-0.012323109607316118,2000.0,477.0,-1.0
41,41,2232.468414732787,148.2551537147901,-0.002681940462753759,-1779.6690128363382,234.0,-0.0003898612921211239,21012.20728645432,298.7205793603466,-0.011567624016579237,-5892.966759138294,322.71950968019513,-0.014983061399297191,2000.0,495.0,-1.0
42,42,1752.8610963701365,147.55069807318952,-0.003973217407994884,-2000.0,206.0,-1.0,2000.0,207.0,-1.0,-2300.6400468078155,230.0,-0.0003041368344814855,20493.93452604671,297.33894730805366,-0.013382252821316543
